Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
Extra Trees,Humidity +5%,Single shift,0.9867411025819958,0.9764347525848802,0.0028208744710860366,0.018599562363238512,0.011141748511864558
AdaBoost,Humidity +5%,Single shift,0.9846153846153847,0.972611778049647,0.007052186177715092,0.018599562363238512,0.006223234130210864
Gradient Boosting,Humidity +5%,Single shift,0.9894884372810091,0.981304881746434,0.004231311706629055,0.01312910284463895,0.005571548604664911
XGBoost,Humidity +5%,Single shift,0.9936753338018272,0.9887578764428039,0.0028208744710860366,0.007658643326039387,0.004207517292033169
LightGBM,Humidity +5%,Single shift,0.9888268156424581,0.9801580149975186,0.0014104372355430183,0.016411378555798686,0.007649576182770956
CatBoost,Humidity +5%,Single shift,0.9915848527349228,0.9850411232870545,0.0028208744710860366,0.010940919037199124,0.006297998358937518
KNN,Humidity +5%,Single shift,0.9160702667534157,0.8505902226812301,0.007052186177715092,0.13566739606126915,0.07898273678015322
GaussianNB,Humidity +5%,Single shift,0.2261904761904762,0.17226089765991323,0.8660084626234132,0.03938730853391685,0.49421254647954904
SVM,Humidity +5%,Single shift,0.8368794326241135,0.7081203690129414,0.0014104372355430183,0.30087527352297594,0.1533303575856767
MLP,Humidity +5%,Single shift,0.8349056603773585,0.704456264591165,0.0014104372355430183,0.3052516411378556,0.15872491287104917
Logistic Regression,Humidity -5%,Single shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6645581935232805
Ridge Classifier,Humidity -5%,Single shift,0.23399014778325122,0.2547972370175441,0.8660084626234132,0.0087527352297593,0.585573632785156
SGD Classifier,Humidity -5%,Single shift,0.236318407960199,0.28310667281990587,0.8660084626234132,0.0,0.6650329433911524
Decision Tree,Humidity -5%,Single shift,0.5083333333333333,0.46158526253583176,0.6558533145275035,0.007658643326039387,0.48884579219558066
Random Forest,Humidity -5%,Single shift,0.6246362754607178,0.5648579790066683,0.5458392101551481,0.0,0.3718301556346886
Extra Trees,Humidity -5%,Single shift,0.8063973063973064,0.7346910084676449,0.3244005641748942,0.0,0.19148554469655388
AdaBoost,Humidity -5%,Single shift,0.5120671563483735,0.4775982869066559,0.6558533145275035,0.0,0.478771462397222
Gradient Boosting,Humidity -5%,Single shift,0.7225225225225225,0.6504090321656036,0.43441466854724964,0.0,0.27253746336315154
XGBoost,Humidity -5%,Single shift,0.7097361237488626,0.6385585811994149,0.44992947813822287,0.0,0.2881467273449977
LightGBM,Humidity -5%,Single shift,0.4607104413347686,0.42783264319316006,0.6981664315937941,0.006564551422319475,0.5357659504904605
CatBoost,Humidity -5%,Single shift,0.5305699481865285,0.49134405495279226,0.6389280677009873,0.0,0.46731290290733185
