Model,Noise level,F1,FNR,FPR
Decision Tree,2.0,0.47816828896657526,0.6414668547249647,0.10919037199124726
Random Forest,2.0,0.5417062538710103,0.5531734837799718,0.15689277899343546
Extra Trees,2.0,0.5857405163136911,0.5097320169252468,0.14223194748358864
AdaBoost,2.0,0.37876923863471396,0.7444287729196051,0.07242888402625822
Gradient Boosting,2.0,0.5624916765900869,0.49196050775740485,0.23129102844638952
XGBoost,2.0,0.5608549839124072,0.514527503526093,0.19037199124726478
LightGBM,2.0,0.49376192227372384,0.6084626234132582,0.15054704595185997
CatBoost,2.0,0.5463261962023477,0.5241184767277856,0.2061269146608315
KNN,2.0,0.5671954555095369,0.5229901269393512,0.1586433260393873
GaussianNB,2.0,0.44488112478136754,0.653314527503526,0.1638949671772429
SVM,2.0,0.5899009906675549,0.46346967559943575,0.21903719912472647
MLP,2.0,0.616781101254497,0.4,0.26805251641137856
Logistic Regression,3.0,0.5735200512481662,0.37940761636107195,0.4214442013129103
Ridge Classifier,3.0,0.5537996944824867,0.44231311706629056,0.35382932166301967
SGD Classifier,3.0,0.5749253979237275,0.3777150916784203,0.4205689277899343
Decision Tree,3.0,0.4352500824615125,0.6778561354019746,0.1223194748358862
Random Forest,3.0,0.4942995390513977,0.5926657263751763,0.1864332603938731
Extra Trees,3.0,0.5265527172955137,0.5636107193229901,0.17133479212253827
AdaBoost,3.0,0.3315857740078837,0.7768688293370946,0.09474835886214442
Gradient Boosting,3.0,0.5247162383737782,0.5283497884344147,0.2527352297592998
XGBoost,3.0,0.5216711715467659,0.5444287729196051,0.22538293216630198
LightGBM,3.0,0.4600164303756641,0.6338504936530325,0.17461706783369804
CatBoost,3.0,0.5094188863979832,0.5531734837799718,0.23785557986870898
KNN,3.0,0.47316001889180603,0.6256699576868829,0.1610503282275711
GaussianNB,3.0,0.42442948501184263,0.664033850493653,0.1912472647702407
SVM,3.0,0.4818854804630727,0.5884344146685473,0.22954048140043765
MLP,3.0,0.5683081273488473,0.4445698166431594,0.30984682713347916
